sk_data,sk_cliente,sk_produto,vl_vendas,qt_vendas,vl_total
2023-01-07T00:00:00.000,10,10,1563.86,1,1563.86
2024-01-25T00:00:00.000,2,6,1484.70,3,4454.10
2024-01-15T00:00:00.000,13,2,2836.42,1,2836.42
2024-01-17T00:00:00.000,27,5,143.78,1,143.78
2025-01-29T00:00:00.000,4,1,5942.60,1,5942.60
2023-01-01T00:00:00.000,15,8,399.49,1,399.49
2025-01-10T00:00:00.000,16,5,163.96,1,163.96
2025-01-30T00:00:00.000,4,9,563.07,1,563.07
2025-01-16T00:00:00.000,7,6,1729.83,3,5189.49
2026-01-20T00:00:00.000,25,7,5907.84,3,17723.52
2025-01-17T00:00:00.000,29,4,1574.07,1,1574.07
2026-01-04T00:00:00.000,22,10,4314.72,3,12944.16
2025-01-23T00:00:00.000,5,8,1022.19,3,3066.57
2025-01-28T00:00:00.000,4,9,1326.20,2,2652.40
2026-01-09T00:00:00.000,8,4,2867.60,2,5735.20
2025-01-09T00:00:00.000,29,1,16689.18,3,50067.54
2025-01-01T00:00:00.000,16,7,1927.29,1,1927.29
2023-01-23T00:00:00.000,21,8,823.90,2,1647.80
2025-01-11T00:00:00.000,3,2,6940.35,3,20821.05
2024-01-04T00:00:00.000,8,6,476.75,1,476.75
2026-01-28T00:00:00.000,28,1,11729.54,2,23459.08
2025-01-18T00:00:00.000,23,4,1359.67,1,1359.67
2025-01-06T00:00:00.000,2,6,495.16,1,495.16
2026-01-19T00:00:00.000,20,8,375.56,1,375.56
2025-01-17T00:00:00.000,22,5,325.48,2,650.96
2024-01-28T00:00:00.000,18,2,8793.81,3,26381.43
2025-01-30T00:00:00.000,16,4,1445.50,1,1445.50
2026-01-17T00:00:00.000,20,5,425.94,3,1277.82
2025-01-09T00:00:00.000,5,3,11742.18,3,35226.54
2025-01-09T00:00:00.000,21,3,12856.62,3,38569.86
2026-01-27T00:00:00.000,20,7,1876.22,1,1876.22
2026-01-25T00:00:00.000,26,7,1808.57,1,1808.57
2026-01-21T00:00:00.000,5,3,8619.38,2,17238.76
2025-01-31T00:00:00.000,7,4,5128.02,3,15384.06
2026-01-01T00:00:00.000,4,4,4511.37,3,13534.11
2026-01-19T00:00:00.000,5,5,307.10,2,614.20
2025-01-05T00:00:00.000,21,10,2938.42,2,5876.84
